FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,86589369,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,30/02/2019,544
Autistica - Work: Self Confidence,120,66155821,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,30/02/2019,545
Autistica - Work: Self Confidence,120,61677296,Completely confident,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,30/02/2019,546
Autistica - Work: Self Confidence,120,56419454,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,30/02/2019,547
Autistica - Work: Self Confidence,120,86397034,Completely confident,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,30/02/2019,548
Autistica - Work: Self Confidence,120,41455969,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,30/02/2019,549
Autistica - Work: Self Confidence,120,23394144,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,30/02/2019,550
Autistica - Work: Self Confidence,120,21326904,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,30/02/2019,551
Autistica - Work: Self Confidence,120,44980497,Completely confident,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,30/02/2019,552
Autistica - Work: Self Confidence,120,38982647,Completely confident,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,30/02/2019,553
Autistica - Work: Self Confidence,120,80484260,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,30/02/2019,554
Autistica - Work: Self Confidence,120,24052776,Completely confident,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,30/02/2019,555
Autistica - Work: Self Confidence,120,70538701,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,30/02/2019,556
Autistica - Work: Self Confidence,120,89804580,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,30/02/2019,557
Autistica - Work: Self Confidence,120,17191527,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,30/02/2019,558
Autistica - Work: Self Confidence,120,12248148,Not confident at all,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,30/02/2019,559
Autistica - Work: Self Confidence,120,14567809,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,30/02/2019,560
Autistica - Work: Self Confidence,120,53779464,Completely confident,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,30/02/2019,561
Autistica - Work: Self Confidence,120,97777931,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,30/02/2019,562
Autistica - Work: Self Confidence,120,99713717,Not confident at all,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,30/02/2019,563
Autistica - Work: Self Confidence,120,93466703,Not confident at all,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,30/02/2019,564
Autistica - Work: Self Confidence,120,37419497,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,30/02/2019,565
Autistica - Work: Self Confidence,120,35358065,Completely confident,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,30/02/2019,566
Autistica - Work: Self Confidence,120,86131995,Not confident at all,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,30/02/2019,567
Autistica - Work: Self Confidence,120,57180656,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,30/02/2019,568
Autistica - Work: Self Confidence,120,62929404,Not confident at all,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,30/02/2019,569
Autistica - Work: Self Confidence,120,30901982,Completely confident,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,30/02/2019,570
Autistica - Work: Self Confidence,120,93085379,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,30/02/2019,571
Autistica - Work: Self Confidence,120,77431644,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,30/02/2019,572
Autistica - Work: Self Confidence,120,67013133,Completely confident,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,30/02/2019,573
Autistica - Work: Self Confidence,120,13838301,Completely confident,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,30/02/2019,574
Autistica - Work: Self Confidence,120,66718298,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,30/02/2019,575
Autistica - Work: Self Confidence,120,24641611,Not confident at all,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,30/02/2019,576
Autistica - Work: Self Confidence,120,67388864,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,30/02/2019,577
Autistica - Work: Self Confidence,120,25055544,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,30/02/2019,578
Autistica - Work: Self Confidence,120,24503298,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,30/02/2019,579
Autistica - Work: Self Confidence,120,43928283,Completely confident,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,30/02/2019,580
Autistica - Work: Self Confidence,120,19630284,Not confident at all,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,30/02/2019,581
Autistica - Work: Self Confidence,120,87042105,Not confident at all,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,30/02/2019,582
Autistica - Work: Self Confidence,120,71593024,Completely confident,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,30/02/2019,583
Autistica - Work: Self Confidence,120,31866214,Completely confident,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,30/02/2019,584
Autistica - Work: Self Confidence,120,97162166,Completely confident,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,30/02/2019,585
Autistica - Work: Self Confidence,120,41273901,Not confident at all,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,30/02/2019,586
Autistica - Work: Self Confidence,120,43440948,Not confident at all,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,30/02/2019,587
Autistica - Work: Self Confidence,120,77705205,Completely confident,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,30/02/2019,588
